Market Day,HourEnding,Region,MTLF (MWh),Actual Load (MWh)
01/06/2019,4,Central,31440.0,31460.6
01/06/2019,4,MISO,63196.0,63449.4
01/06/2019,4,North,14229.0,14389.3
01/06/2019,4,South,17527.0,17599.5
01/06/2019,5,Central,31573.0,31546.8
01/06/2019,5,MISO,63401.0,63586.4
01/06/2019,5,North,14204.0,14311.4
01/06/2019,5,South,17624.0,17728.2
01/06/2019,6,Central,32358.0,32177.5
01/06/2019,6,MISO,64591.0,64688.1
01/06/2019,6,North,14297.0,14449.5
01/06/2019,6,South,17936.0,18061.1
01/06/2019,7,Central,33450.0,33107.1
01/06/2019,7,MISO,66526.0,66497.6
01/06/2019,7,North,14587.0,14726.5
01/06/2019,7,South,18489.0,18664.1
01/06/2019,8,Central,34496.0,34427.9
01/06/2019,8,MISO,68607.0,68913.7
01/06/2019,8,North,15051.0,15161.1
01/06/2019,8,South,19060.0,19324.7
01/06/2019,9,Central,35249.0,35275.4
01/06/2019,9,MISO,70314.0,71073.3
01/06/2019,9,North,15593.0,15807.6
01/06/2019,9,South,19472.0,19990.3
01/06/2019,10,Central,35806.0,35664.9
01/06/2019,10,MISO,71289.0,72193.7
01/06/2019,10,North,15959.0,16229.3
01/06/2019,10,South,19524.0,20299.6
01/06/2019,11,Central,36227.0,35620.7
01/06/2019,11,MISO,71583.0,71460.5
01/06/2019,11,North,16260.0,16485.1
01/06/2019,11,South,19096.0,19354.7
01/06/2019,12,Central,36400.0,35452.6
01/06/2019,12,MISO,71250.0,70400.6
01/06/2019,12,North,16398.0,16719.0
01/06/2019,12,South,18452.0,18229.0
01/06/2019,13,Central,36466.0,35273.7
01/06/2019,13,MISO,70741.0,69399.7
01/06/2019,13,North,16450.0,16801.0
01/06/2019,13,South,17825.0,17325.0
01/06/2019,14,Central,36314.0,35175.0
01/06/2019,14,MISO,70182.0,69132.3
01/06/2019,14,North,16493.0,16988.0
01/06/2019,14,South,17375.0,16969.3
01/06/2019,15,Central,36025.0,34899.3
01/06/2019,15,MISO,69527.0,68525.0
01/06/2019,15,North,16392.0,16942.4
01/06/2019,15,South,17110.0,16683.3
01/06/2019,16,Central,35893.0,35027.5
01/06/2019,16,MISO,69099.0,68407.9
01/06/2019,16,North,16311.0,16938.2
01/06/2019,16,South,16895.0,16442.1
01/06/2019,17,Central,36374.0,35672.6
01/06/2019,17,MISO,69641.0,69194.5
01/06/2019,17,North,16438.0,17071.5
01/06/2019,17,South,16829.0,16450.4
01/06/2019,18,Central,38378.0,37828.6
01/06/2019,18,MISO,72592.0,72203.9
01/06/2019,18,North,17115.0,17668.6
01/06/2019,18,South,17099.0,16706.8
01/06/2019,19,Central,39986.0,39296.9
01/06/2019,19,MISO,76323.0,75459.2
01/06/2019,19,North,18185.0,18488.4
01/06/2019,19,South,18152.0,17673.8
01/06/2019,20,Central,39679.0,39055.4
01/06/2019,20,MISO,76645.0,75772.4
01/06/2019,20,North,18125.0,18304.5
01/06/2019,20,South,18841.0,18412.5
01/06/2019,21,Central,39073.0,38555.4
01/06/2019,21,MISO,75736.0,75064.7
01/06/2019,21,North,17783.0,18001.4
01/06/2019,21,South,18880.0,18507.9
01/06/2019,22,Central,37967.0,37496.6
01/06/2019,22,MISO,73805.0,73242.5
01/06/2019,22,North,17258.0,17448.8
01/06/2019,22,South,18580.0,18297.1
01/06/2019,23,Central,36390.0,36029.7
01/06/2019,23,MISO,70926.0,70611.3
01/06/2019,23,North,16564.0,16738.5
01/06/2019,23,South,17972.0,17843.1
01/06/2019,24,Central,35456.0,34445.2
01/06/2019,24,MISO,68353.0,67381.6
01/06/2019,24,North,15762.0,15876.9
01/06/2019,24,South,17135.0,17059.6
01/07/2019,1,Central,33800.0,33353.9
01/07/2019,1,MISO,64947.0,65038.0
01/07/2019,1,North,15217.0,15259.9
01/07/2019,1,South,15930.0,16424.3
01/07/2019,2,Central,33018.0,32607.5
01/07/2019,2,MISO,63283.0,63401.1
01/07/2019,2,North,14756.0,14777.1
01/07/2019,2,South,15509.0,16016.5
01/07/2019,3,Central,32214.0,32272.3
01/07/2019,3,MISO,61999.0,62586.3
01/07/2019,3,North,14496.0,14464.5
01/07/2019,3,South,15289.0,15849.5
01/07/2019,4,Central,32143.0,32305.2
01/07/2019,4,MISO,61727.0,62450.3
01/07/2019,4,North,14383.0,14277.2
01/07/2019,4,South,15201.0,15867.8
01/07/2019,5,Central,32596.0,32758.9
01/07/2019,5,MISO,62323.0,62874.6
01/07/2019,5,North,14417.0,14283.2
01/07/2019,5,South,15310.0,15832.4
01/07/2019,6,Central,33743.0,34563.2
01/07/2019,6,MISO,64340.0,65576.5
01/07/2019,6,North,14756.0,14595.7
01/07/2019,6,South,15841.0,16417.6
01/07/2019,7,Central,36454.0,37430.7
01/07/2019,7,MISO,69238.0,70516.3
01/07/2019,7,North,15679.0,15532.6
01/07/2019,7,South,17105.0,17553.0
01/07/2019,8,Central,39055.0,40210.0
01/07/2019,8,MISO,74930.0,76178.7
01/07/2019,8,North,17230.0,17019.5
01/07/2019,8,South,18645.0,18949.1
01/07/2019,9,Central,39999.0,41402.1
01/07/2019,9,MISO,77072.0,78751.3
01/07/2019,9,North,18278.0,18044.0
01/07/2019,9,South,18795.0,19305.2
01/07/2019,10,Central,40497.0,41459.9
01/07/2019,10,MISO,77472.0,78731.9
01/07/2019,10,North,18412.0,18223.4
01/07/2019,10,South,18563.0,19048.6
01/07/2019,11,Central,40909.0,41834.4
01/07/2019,11,MISO,77680.0,78591.0
01/07/2019,11,North,18430.0,18123.3
01/07/2019,11,South,18341.0,18633.3
01/07/2019,12,Central,41026.0,41783.8
01/07/2019,12,MISO,77636.0,78287.4
01/07/2019,12,North,18465.0,18163.0
01/07/2019,12,South,18145.0,18340.7
01/07/2019,13,Central,40854.0,41618.4
01/07/2019,13,MISO,77113.0,77613.7
01/07/2019,13,North,18383.0,18066.6
01/07/2019,13,South,17876.0,17928.7
01/07/2019,14,Central,40642.0,41375.4
01/07/2019,14,MISO,76502.0,77014.0
01/07/2019,14,North,18239.0,17930.4
01/07/2019,14,South,17621.0,17708.2
01/07/2019,15,Central,40266.0,41033.6
01/07/2019,15,MISO,75860.0,76436.5
01/07/2019,15,North,18145.0,17864.4
