Year,State,PHEV sales,BEV sales
2028,TX,6934.0,140103.0
2029,TX,6934.0,156074.0
2030,TX,6934.0,172045.0
2031,TX,6934.0,188016.0
2032,TX,6934.0,203987.0
2033,TX,6934.0,219958.0
2034,TX,6934.0,235929.0
2035,TX,6934.0,251900.0
2036,TX,6934.0,267871.0
2037,TX,6934.0,283842.0
2038,TX,6934.0,299813.0
2039,TX,6934.0,315784.0
2040,TX,6934.0,331755.0
2041,TX,6934.0,347726.0
2022,WI,1336.0,4526.999999999999
2023,WI,1336.0,6042.999999999998
2024,WI,1336.0,7558.999999999997
2025,WI,1336.0,9074.999999999996
2026,WI,1336.0,10590.999999999996
2027,WI,1336.0,12106.999999999996
2028,WI,1336.0,13622.999999999996
2029,WI,1336.0,15138.999999999996
2030,WI,1336.0,16654.999999999996
2031,WI,1336.0,18170.999999999996
2032,WI,1336.0,19686.999999999996
2033,WI,1336.0,21202.999999999996
2034,WI,1336.0,22718.999999999996
2035,WI,1336.0,24234.999999999996
2036,WI,1336.0,25750.999999999996
2037,WI,1336.0,27266.999999999996
2038,WI,1336.0,28782.999999999996
2039,WI,1336.0,30298.999999999996
2040,WI,1336.0,31814.999999999996
2041,WI,1336.0,33330.99999999999
