Vehicle,Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tesla Model X,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,208.0,19600.0,21700.0,26100.0,19425.0
BMW X5,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,892.0,5995.0,5349.0,4434.0,167.0
Hyundai Sonata Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,3000.0,2254.0,460.0,456.0
Audi A3 Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4280.0,2877.0,2597.0,437.0
BMW 3-series Plug-In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,880.0,4141.0,2600.0,705.0
Mercedes GLE 550e,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,231.0,463.0,966.0,1509.0
BMW 7-series Plug-in,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,23.0,707.0,339.0,80.0
Mercedes C350We,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,171.0,817.0,1721.0,2172.0
Chevy Bolt,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,579.0,23297.0,18019.0,16313.0
Kia Optima Plug-in,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1512.0,965.0,350.0
Hyundai Ioniq EV,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,432.0,345.0,739.0
Chrysler Pacifica Plug-in Hybrid,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2981.0,7062.0,5811.0
Cadillac CT6,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,205.0,231.0,25.0
BMW 5-Series Plug in,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3759.0,8664.0,5442.0
MINI Countryman S E,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,475.0,1564.0,494.0
Porsche Panamera 4 E-H,PHEV,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,139782.0,154840.0
Honda Clarity BEV,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,948.0,742.0
Volvo XC60 Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,356.0,2267.0,1682.0
Volvo S90 Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,112.0,437.0,407.0
Honda Clarity Plug-in,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,903.0,18602.0,10728.0
Mitsubishi Outlander Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.0,2810.0
Hyundai Ioniq Plug-In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,1765.0
Kia Niro Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3389.0,4051.0
Mercedes GLC 350e Hybrid,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,2459.0
Jaguar I-Pace,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,2594.0
Hyundai Kona Electric,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0
Subaru Crosstrek Hybrid,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0
Audi e-tron,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5369.0
Kia Niro EV,EV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.0
