Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2023,KY,Total,"(0, 1, 0)",4,1218.0,[ 620.545 1815.455],81.34652592436991,84.34652592436991,80.93004486282602,NA,,
2020,KY,Total,"(0, 1, 1)",1,858.3663478878261,[ 590.301 1126.431],83.17142514626818,91.17142514626818,82.54670355395234,929,-70.63365211217388,70.63365211217388
2021,KY,Total,"(0, 1, 1)",2,973.704244790823,[ 705.632 1241.776],83.17142514626818,91.17142514626818,82.54670355395234,2125,-1151.295755209177,1151.295755209177
2022,KY,Total,"(0, 1, 1)",3,1089.04214169382,[ 820.963 1357.121],83.17142514626818,91.17142514626818,82.54670355395234,NA,,
2023,KY,Total,"(0, 1, 1)",4,1204.380038596817,[ 936.294 1472.466],83.17142514626818,91.17142514626818,82.54670355395234,NA,,
2020,KY,Total,"(0, 1, 2)",1,1113.2871345260385,[ 846.915 1379.659],85.39610427926523,105.39610427926523,84.56314215617745,929,184.28713452603847,184.28713452603847
2021,KY,Total,"(0, 1, 2)",2,1119.3576887040906,[ 730.477 1508.238],85.39610427926523,105.39610427926523,84.56314215617745,2125,-1005.6423112959094,1005.6423112959094
2022,KY,Total,"(0, 1, 2)",3,1225.8906760888256,[ 598.875 1852.906],85.39610427926523,105.39610427926523,84.56314215617745,NA,,
2023,KY,Total,"(0, 1, 2)",4,1332.4236634735605,[ 535.512 2129.336],85.39610427926523,105.39610427926523,84.56314215617745,NA,,
2020,KY,Total,"(0, 2, 0)",1,821.2,[ 329.694 1312.706],73.4348558720499,76.4348558720499,72.6537316969181,929,-107.79999999999995,107.79999999999995
2021,KY,Total,"(0, 2, 0)",2,838.6,[-260.44 1937.64],73.4348558720499,76.4348558720499,72.6537316969181,2125,-1286.4,1286.4
2022,KY,Total,"(0, 2, 0)",3,856.2,[-982.845 2695.245],73.4348558720499,76.4348558720499,72.6537316969181,NA,,
2023,KY,Total,"(0, 2, 0)",4,874.0,[-1818.087  3566.087],73.4348558720499,76.4348558720499,72.6537316969181,NA,,
2020,KY,Total,"(0, 2, 1)",1,-149.7615838576055,[-473.982  174.459],109.95605350805307,117.95605350805307,108.78436724535537,929,-1078.7615838576055,1078.7615838576055
2021,KY,Total,"(0, 2, 1)",2,-1735.8051878787,[-2716.425  -755.186],109.95605350805307,117.95605350805307,108.78436724535537,2125,-3860.8051878787,3860.8051878787
2022,KY,Total,"(0, 2, 1)",3,-3954.130812063285,[-5768.243 -2140.018],109.95605350805307,117.95605350805307,108.78436724535537,NA,,
2023,KY,Total,"(0, 2, 1)",4,-6804.738456411358,[-9600.236 -4009.241],109.95605350805307,117.95605350805307,108.78436724535537,NA,,
2020,KY,Total,"(0, 2, 2)",1,1207.3293311313191,[ 992.939 1421.72 ],71.79599413904704,91.79599413904704,70.23374578878344,929,278.3293311313191,278.3293311313191
2021,KY,Total,"(0, 2, 2)",2,1575.432926305804,[1340.831 1810.035],71.79599413904704,91.79599413904704,70.23374578878344,2125,-549.5670736941961,549.5670736941961
2022,KY,Total,"(0, 2, 2)",3,1999.3813295824048,[1721.111 2277.652],71.79599413904704,91.79599413904704,70.23374578878344,NA,,
2023,KY,Total,"(0, 2, 2)",4,2479.1745409611217,[2135.67  2822.679],71.79599413904704,91.79599413904704,70.23374578878344,NA,,
2020,KY,Total,"(1, 1, 0)",1,928.6061979351952,[ 635.593 1221.619],83.14429997912194,91.14429997912194,82.5195783868061,929,-0.39380206480484503,0.39380206480484503
2021,KY,Total,"(1, 1, 0)",2,1033.791583518702,[ 654.952 1412.631],83.14429997912194,91.14429997912194,82.5195783868061,2125,-1091.208416481298,1091.208416481298
2022,KY,Total,"(1, 1, 0)",3,1142.4820455721224,[ 688.768 1596.196],83.14429997912194,91.14429997912194,82.5195783868061,NA,,
2023,KY,Total,"(1, 1, 0)",4,1250.5399099340834,[ 733.494 1767.586],83.14429997912194,91.14429997912194,82.5195783868061,NA,,
