Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2021,MI,Total,"(1, 1, 2)",4,2591.6158236800984,[2591.61578448 2591.61586288],-41.56392159059334,-79.27820730487906,-48.31468361827454,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(1, 2, 0)",1,3613.570060938364,[3613.57004134 3613.57008054],-42.02835994070969,-78.02835994070969,-50.140849342696704,3571,42.570060938363895,42.570060938363895
2019,MI,Total,"(1, 2, 0)",2,5071.5234671647195,[5071.52343917 5071.52349516],-42.02835994070969,-78.02835994070969,-50.140849342696704,1830,3241.5234671647195,3241.5234671647195
2020,MI,Total,"(1, 2, 0)",3,7058.870491324458,[7058.87044315 7058.8705395 ],-42.02835994070969,-78.02835994070969,-50.140849342696704,3817,3241.8704913244583,3241.8704913244583
2021,MI,Total,"(1, 2, 0)",4,9553.663505926728,[9553.66344332 9553.66356853],-42.02835994070969,-78.02835994070969,-50.140849342696704,10477,-923.3364940732718,923.3364940732718
2018,MI,Total,"(1, 2, 1)",1,3613.5700609388296,[3613.57004134 3613.57008054],-42.718780436402724,-79.3854471030694,-51.73265754972162,3571,42.570060938829556,42.570060938829556
2019,MI,Total,"(1, 2, 1)",2,5071.523467165185,[5071.52342334 5071.52351099],-42.718780436402724,-79.3854471030694,-51.73265754972162,1830,3241.523467165185,3241.523467165185
2020,MI,Total,"(1, 2, 1)",3,7058.87049132539,[7058.87041799 7058.87056466],-42.718780436402724,-79.3854471030694,-51.73265754972162,3817,3241.8704913253896,3241.8704913253896
2021,MI,Total,"(1, 2, 1)",4,9553.663505927427,[9553.66339858 9553.66361328],-42.718780436402724,-79.3854471030694,-51.73265754972162,10477,-923.3364940725733,923.3364940725733
2018,MI,Total,"(1, 2, 2)",1,3613.5700609388296,[3613.57004134 3613.57008054],-40.718780436402724,-78.43306615068843,-50.634045261053515,3571,42.570060938829556,42.570060938829556
2019,MI,Total,"(1, 2, 2)",2,5071.523467165185,[5071.52342334 5071.52351099],-40.718780436402724,-78.43306615068843,-50.634045261053515,1830,3241.523467165185,3241.523467165185
2020,MI,Total,"(1, 2, 2)",3,7058.87049132539,[7058.87041799 7058.87056466],-40.718780436402724,-78.43306615068843,-50.634045261053515,3817,3241.8704913253896,3241.8704913253896
2021,MI,Total,"(1, 2, 2)",4,9553.663505927427,[9553.66339858 9553.66361328],-40.718780436402724,-78.43306615068843,-50.634045261053515,10477,-923.3364940725733,923.3364940725733
2018,MI,Total,"(2, 1, 0)",1,2659.59394689076,[2659.59392729 2659.59396649],-43.691130822724276,-80.35779748939095,-49.82818721152537,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(2, 1, 0)",2,2618.525483745034,[2618.52545687 2618.52551062],-43.691130822724276,-80.35779748939095,-49.82818721152537,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(2, 1, 0)",3,2598.451511463267,[2598.45147839 2598.45154454],-43.691130822724276,-80.35779748939095,-49.82818721152537,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(2, 1, 0)",4,2591.6158236800984,[2591.61578544 2591.61586192],-43.691130822724276,-80.35779748939095,-49.82818721152537,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(2, 1, 1)",1,2659.59394689076,[2659.59392729 2659.59396649],-41.56392159059334,-79.27820730487906,-48.31468361827454,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(2, 1, 1)",2,2618.525483745034,[2618.52545603 2618.52551146],-41.56392159059334,-79.27820730487906,-48.31468361827454,1830,788.5254837450339,788.5254837450339
